@relation 'DATOS COVID-BOLIVIA-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute fecha {2020-07-20,2020-07-19,2020-07-18,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-11,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-04,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-06-27,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-20,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-13,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-06,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21}
@attribute region {'La Paz',Cochabamba,'Santa Cruz',Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando}
@attribute casos numeric
@attribute recuperados numeric
@attribute muertes numeric
@attribute poblacion numeric
@attribute activos numeric
@attribute 'activos por 10k' numeric
@attribute 'muertes por 1 millon' numeric
@attribute suceptibles numeric
@attribute descartados numeric

@data
2020-07-20,'La Paz',10190,821,169,2926996,1090.467467,31.431543,57.738378,2916806,477.643216
2020-07-19,'La Paz',9655,797,162,2926996,8696,29.709641,55.346847,2917341,959
2020-07-18,'La Paz',1556.163471,742,157,2926996,8023,27.410355,53.638611,2918074,899
2020-07-17,'La Paz',1556.163471,704,155,2926996,7350,25.11107,52.955317,2918787,859
2020-07-16,'La Paz',7976,636,55.454265,2926996,7195,24.581516,49.538845,2919020,781
2020-07-15,'La Paz',7662,625,139,2926996,6898,23.566824,47.488961,2919334,764
2020-07-14,'La Paz',7402,594,134,2926996,6674,22.801534,45.780725,2919594,728
2020-07-13,'La Paz',7124,561,133,2926996,6430,21.967915,45.439078,2919872,694
2020-07-20,'La Paz',6703,533,131,2926996,6039,20.632075,44.755784,2920293,664
2020-07-11,'La Paz',6366,496,127,1289398.239196,5743,9.895314,43.389195,1268202.001011,477.643216
2020-07-10,'La Paz',5704,464,116,2926996,5124,17.506003,39.631076,2921292,580
2020-07-09,'La Paz',5376,433,114,1289398.239196,4829,16.498143,38.947781,1268202.001011,547
2020-07-08,'La Paz',1556.163471,430,110,2926996,4611,15.753353,37.581192,2921845,540
2020-07-07,'La Paz',4876,425,55.454265,2926996,4342,14.834322,37.239545,2922120,534
2020-07-06,'La Paz',4685,418,107,2926996,4160,14.212524,36.556251,2922311,525
2020-07-05,'La Paz',4205,411,55.454265,2926996,3687,12.596532,36.556251,2922791,477.643216
2020-07-04,'La Paz',3872,400,100,2926996,3372,11.520344,34.16472,2923124,500
2020-07-03,Chuquisaca,3634,396,93,2926996,3145,10.744805,31.77319,2923362,489
2020-07-02,'La Paz',3397,394,93,2926996,2910,9.941934,31.77319,2923599,487
2020-07-01,'La Paz',3241,394,84,2926996,2763,9.439712,28.698365,1268202.001011,478
2020-06-30,'La Paz',3029,391,82,2926996,2556,8.732503,28.015071,1268202.001011,473
2020-07-20,'La Paz',2967,388,55.454265,2926996,2497,8.530931,28.015071,2924029,470
2020-06-28,'La Paz',2882,382,76,2926996,1090.467467,8.281528,25.965188,2924114,458
2020-06-27,'La Paz',2774,376,74,2926996,1090.467467,7.939881,25.281893,2924222,450
2020-06-26,'La Paz',2580,368,69,2926996,2143,9.895314,23.573657,2924416,477.643216
2020-07-20,Chuquisaca,2373,365,68,2926996,1940,6.627956,52.458802,2924623,433
2020-06-24,'La Paz',2161,360,65,2926996,1736,5.930995,52.458802,2924835,425
